company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
"Fpi Management, Inc.",1,2,,531311,"Fpi Management, Inc.","800 Iron Point Rd, Folsom, 95630","800 Iron Point Rd, Folsom"
Francesca Apartments Lp,1,2,,531110,Francesca Apartments Lp,"1717 Powell St Ste 300, San Francisco, 94133","837 Geary St, San Francisco"
Freedom West Homes Corporation,1,2,,531110,Freedom West Homes Corporation,"820 Mcallister St, San Francisco, 94102","820 Mcallister St, San Francisco"
"Freedom West Senior Partners, Lp",1,2,,531110,"Freedom West Senior Partners, Lp","1388 Sutter St Fl 11, San Francisco, 94109","1388 Sutter St Fl 11, San Francisco"
Friedkin Realty Group Inc,1,2,,531390,Friedkin Realty Group Inc,"44 Montgomery St 3700 Ste, San Francisco, 94104","44 Montgomery St Ste 4150, San Francisco"
Frontenac Apts Lp,1,2,,531110,Frontenac Apts Lp,"1717 Powell St Ste 300, San Francisco, 94133","500 Hyde St, San Francisco"
"Frontline Realty Capital, LLC",1,2,,531390,"Frontline Realty Capital, LLC","125 Stillman St, San Francisco, 94107","125 Stillman St, San Francisco"
Fsy Empire Partners Lp,1,2,,531311,Fsy Empire Partners Lp,"Po Box 475037, San Francisco, 94147","461 Broadway St Ste 200, San Francisco"
Fulton Street Associates LLC,1,2,,531110,Fulton Street Associates LLC,"0000 Undeliverable Mail, San Francisco, 99999","337 Fulton St, San Francisco"
G&R Management Enterprise Corp,1,2,,531311,G&R Management Enterprise Corp,"307 Langton St, San Francisco, 94103","307 Langton St, San Francisco"
G. Bakar Properties Inc,1,2,,531390,G. Bakar Properties Inc,"201 Filbert St Ste 700, San Francisco, 94133","201 Filbert St 700, San Francisco"
"Gabreila Apartments, Ltd",1,2,,531110,"Gabreila Apartments, Ltd","50 Vashell Way Ste 400, Orinda, 94563","587 Natoma St, San Francisco"
Gaetani Real Estate,1,2,Inner Richmond,531311,Gaetani Real Estate,"4444 Geary Blvd 100 Ste, San Francisco, 94118","4444 Geary Blvd Ste 100, San Francisco"
Gaetani Realty Inc,1,2,,531110,2245 Beach St Apts,"4444 Geary Blvd Ste 105, San Francisco, 94118","2245 Beach St, San Francisco"
Galway Properties II,1,2,Mission,531110,Galway Properties II,"Po Box P O Box 470158, San Francisco, 94147","2405 16th St, San Francisco"
"Gamba Apartments, LLC",1,2,,531110,"Gamba Apartments, LLC","2546 38th Ave, San Francisco, 94116","1772 Dolores St, San Francisco"
Gao Properties LLC,1,2,,531390,Gao Properties LLC,"2594 Oakdale Ave, San Francisco, 94124","2594 Oakdale Ave, San Francisco"
Gautier Sf Comm Property LLC,1,2,Haight Ashbury,531110,Gautier Sf Comm Property LLC,"99 Saint Germain Ave, San Francisco, 94114","728 Cole St, San Francisco"
Gaylord Associates Lp,1,2,,531110,620 Jones St Bldg,"1717 Powell St Ste 300, San Francisco, 94133","620 Jones St, San Francisco"
Gb Wharf Associates Lp,1,2,,531110,Wharf Plaza 1 | Wharf Plaza II,"201 Filbert St Ste 700, San Francisco, 94133","1855 Kearny St, San Francisco"
"Geary Alpha Partners, L.P.",1,2,Outer Richmond,531110,Na,"940 Emmett Ave Ste 200, Belmont, 94002","5200 Geary Blvd, San Francisco"
Geary Manor Associates LLC,1,2,,531110,Geary Manor Associates LLC,"1717 Powell St Ste 300, San Francisco, 94133","760 Geary St, San Francisco"
Geary Real Estate Inc.,1,2,,531311,Geary Real Estate Inc.,"1822 Valley Of The Moon Rd, Livermore, 94550","1822 Valley Of The Moon Rd, Livermore"
Geary-Hyde Apartments LLC,1,2,,53,Geary-Hyde Apartments LLC | Geary-Hyde Apartments LLC - Commercial Units,"Po Box 851, Mill Valley, 94942","611 Hyde St #619, San Francisco"
Generations Realty Inc,1,2,Inner Richmond,531210,Generations Realty Inc,"625 11th Ave, San Francisco, 94118","625 11 Ave, San Francisco"
Ggr Property Management LLC,1,2,,531311,Ggr Property Management LLC,"Po Box 16692, San Francisco, 94116","16692 Po Box, San Francisco"
Glen Park Partners LLC,1,2,,531110,Glen Park Partners LLC,"1792 26th Ave, San Francisco, 94122","6 Po Box, Brisbane"
"Glenn Good Group, LLC",1,2,,531312,"Glenn Good Group, LLC","0000 Undeliverable Mail, San Francisco, 99999","235 Montgomery St Ste 1144, San Francisco"
Gme Partners LLC,1,2,,531110,2297 Laguna Apts,"1324 N Lemon Ave, Menlo Park, 94025","2297 Laguna St, San Francisco"
"Golden Gate Group Investments, LLC",1,2,,531210,"Golden Gate Group Investments, LLC","548 Market St 514114, San Francisco, 94104","548 Market St, San Francisco"
Golden Management L P,1,2,,531390,"Golden Management L P | Golden Management, Inc.","460 Davis Ct, San Francisco, 94111","460 Davis Ct, San Francisco"
Good Earth Realty Inc,1,2,,53,Good Earth Realty Co Inc,"1945 Ocean Ave, San Francisco, 94127","785 Columbus Ave, San Francisco"
Gordon/Clifford Realty Inc.,1,2,,531110,1814 Filbert Street,"1572 Union St, San Francisco, 94123","1814 Filbert St, San Francisco"
Gortang Property Management Inc,1,2,Mission,531312,Gortang Property Management Inc,"Po Box 410502, San Francisco, 94141","2525 16th St Ste 304, San Francisco"
Gough Street Apartments LLC,1,2,,531390,Gough Street Apartments LLC,"635 Vallejo St, San Francisco, 94133","1530 Gough St, San Francisco"
Graystone Partners Lp,1,2,Haight Ashbury,531110,Graystone Partners Lp,"1717 Powell St Ste 300, San Francisco, 94133","250 Divisadero St #262, San Francisco"
Green Cities Investment Management LLC,1,2,,531110,"Green Cities Investment Management, LLC","920 Sw 6th Ave Ste 1350, Portland, 97204","201 Mission St Ste 500, San Francisco"
Greene Realty Group LLC,1,2,,531110,Greene Realty Group LLC,"41 Noe St, San Francisco, 94114","41 Noe St, San Francisco"
"Greensea Properties, LLC",1,2,,531110,"Greensea Properties, LLC","2653 Leavenworth St, San Francisco, 94133","1367 7th Ave, San Francisco"
Greenwich Associates LLC,1,2,,531110,Greenwich Associates | Greenwich Parking,"3475 California St, San Francisco, 94118","725 Greenwich St, San Francisco"
"Greenwich Garden Apartments, LLC",1,2,,531110,"Greenwich Garden Apartments, LLC","1819 Polk St 373, San Francisco, 94109","1120 Greenwich St, San Francisco"
"Greenwich Properties, LLC",1,2,,531110,"Greenwich Properties, LLC","Po Box 471795, San Francisco, 94147","Lombard St, San Francisco"
Gregg Lynn Team Real Estate Inc.,1,2,,531210,Gregg Lynn Team | Gregg Lynn Team Real Estate,"1080 Chestnut St Apt 1e, San Francisco, 94109","1080 Chestnut St Apt 1e, San Francisco"
Grehound Associates Lp,1,2,,53,Greyhound Associates Lp,"1995 Broadway Fl 3, New York, 10023","1995 Broadway, New York"
Greystar Management Svcs Lp,1,2,,531390,Greystar Management Svcs Lp,"2525 E Camelback Rd Ste 500, Phoenix, 85016","3200 E Camelback Rd Ste 255, Phoenix"
Grosvenor Properties Ltd,1,2,,531311,Grosvenor Properties Ltd,"222 Front St Fl 7, San Francisco, 94111","222 Front St Fl 7, San Francisco"
Grotte Group Real Estate Inc.,1,2,Noe Valley,531390,Grotte Group Real Estate,"175 Delmar St, San Francisco, 94117","3899 24th St, San Francisco"
Gruber Partners,1,2,Outer Richmond,531110,159-19th Ave,"Po Box 470126, San Francisco, 94147","159 19th Ave, San Francisco"
"Gs Commercial Management, Inc.",1,2,,531312,Gs Management Company,"5674 Sonoma Dr Ste A, Pleasanton, 94566","5674 Sonoma Dr Ste A, Pleasanton"
Guan Real Estate Holding,1,2,Outer Richmond,531110,Guan Real Estate Holding LLC,"608 20th Ave, San Francisco, 94121","608 20th Ave, San Francisco"
H & M Real Estate Inc,1,2,,531311,Heights Properties,"1716 Union St, San Francisco, 94123","1716 Union St, San Francisco"
H&H Partners LLC,1,2,,531110,H&H Partners LLC,"707 Ellis St, San Francisco, 94109","719 Ellis St, San Francisco"
H2 Realty LLC,1,2,,531110,H2 Realty LLC,"2106 Jackson 3, San Francisco, 94115","2106 Jackson Street 3, San Francisco"
"Haight Street Re Group, Lp",1,2,Haight Ashbury,531110,"Haight Street Re Group, Lp","100 Green St, San Francisco, 94111","688 Haight St, San Francisco"
Haight Street Senior Housing Inc,1,2,Haight Ashbury,531110,Buena Vista Terrace,"201 Eddy St, San Francisco, 94102","1250 Haight St, San Francisco"
Hardwick Partners II Lp,1,2,,531110,1530 California St (Commercial) C/O Chandler Properties | 1530 California Street (Residential),"0000 Undeliverable Mail, San Francisco, 99999","2799 California St, San Francisco"
Hardwick Partners Lp,1,2,,531110,Hardwick Partners Lp,"3475 California St, San Francisco, 94118","201 Moraga St, San Francisco"
"Harmony Investment Group, LLC",1,2,,531110,656 Pacific Rooming House | Harmony Investment Group LLC,"1399 Lowrie Ave Ste 3, South San Francisco, 94080","656 Pacific Ave, San Francisco"
Hatch Realty Group,1,2,,531210,Hatch Realty Group,"38 Bryant St Unit 709, San Francisco, 94105","38 Bryant St Apt 709, San Francisco"
Hayes Elite Property Investmen,1,2,,53,Hayes Property Group,"1537 8th Ave, San Francisco, 94122","1537 8th Ave, San Francisco"
Hbh Management LLC,1,2,,531311,Sammie's Home,"5700 Stoneridge Mall Rd Ste 260, Pleasanton, 94588","1537 Revere Ave, San Francisco"
Hc & M Comm Properties Inc,1,2,,531210,Hc & M Comm Properties Inc,"1234 Mariposa St, San Francisco, 94107","1234 Mariposa St, San Francisco"
Henry & Hedwa Greenspan Properties Bay Street LLC,1,2,,53,2190 Bay Street,"Po Box 25179, San Mateo, 94402","2190 Bay St, San Francisco"
Henry & Hedwa Greenspan Properties Burnett LLC,1,2,,53,Henry & Hedwa Greenspan Properties Burnett LLC,"Po Box 25179, San Mateo, 94402","428 Burnett Ave, San Francisco"
Hillscape Properties Inc,1,2,,53,"Hillscape Properties, Inc.","601 Montgomery St Ste 850, San Francisco, 94111","601 Montgomery St, San Francisco"
Holly Courts Housing Associates Lp,1,2,,531110,Holly Courts,"0000 Undeliverable Mail, San Francisco, 99999","100 Appleton Ave, San Francisco"
Homes By Jen Inc,1,2,,531311,Homes By Jen Inc Dba Homes By Jen SF,"2819 Lawton St, San Francisco, 94122","2819 Lawton St, San Francisco"
Hospitality And Investment Real Estate Advisors,1,2,,531210,Hire Advisors | Hospitality And Investment Real Estate Advisors,"2309 Noriega St 1012 #, San Francisco, 94122","2309 Noriega St, San Francisco"
Hotel Grand South Partners Lp,1,2,,531110,Hotel Isabel,"230 230 4th St, San Francisco, 94103","1091 Mission St, San Francisco"
Hunters View Associates Lp,1,2,,531110,Hunters View Associates Lp,"1388 Sutter St Fl 11, San Francisco, 94109","1388 Sutter St Fl 11, San Francisco"
"Husky Housing, LLC",1,2,Inner Richmond,531110,"Husky Housing, LLC","2108 N St Ste N, Sacramento, 95816","561 Arguello Blvd, San Francisco"
"Hv Partners 3, Lp",1,2,,531110,"Hv Partners 3, Lp","1388 Sutter St Fl 11, San Francisco, 94109","1388 Sutter St Fl 11, San Francisco"
Hyde Park Apartments LLC,1,2,,531110,Hyde Park Apartments LLC,"1201 Fulton St, San Francisco, 94117","360 Hyde St, San Francisco"
Hyde Street Properties LLC,1,2,Nob Hill,531110,1029 Hyde Street,"1144 Cortez Ave, Burlingame, 94010","1029 Hyde St, San Francisco"
IIno Real Estate Inc.,1,2,,531210,IIno Real Estate Inc.,"52 Millard Rd, Larkspur, 94939","560 Davis St Ste 150, San Francisco"
IVories Management LLC,1,2,,531110,IVories Management LLC | S.F. Rentals,"822 Bay St, San Francisco, 94109","822 Bay St, San Francisco"
Ijc Novak Management LLC,1,2,,531311,Ijc Novak Management LLC,"8 Mendosa Ave, San Francisco, 94116","8 Mendosa Ave, San Francisco"
Ikeda Partners Llp,1,2,,531110,Ikeda Partners Llp,"3150 Octavia St, San Francisco, 94123","1875 -77 Lombard St, San Francisco"
"Ikon Realty, Inc.",1,2,,531210,"Ikon Realty, Inc.","1 Holloway Ave, San Francisco, 94112","1 Holloway Ave, San Francisco"
Iml Property Management Inc,1,2,,531311,Iml Property Management Inc,"8400 Oceanview Ter Apt 103, San Francisco, 94132","8400 Oceanview Terr 103, San Francisco"
Innovation Real Estate Group,1,2,,531210,Innovation Properties Group | Ipg,"181 2nd St, San Francisco, 94105","181 2nd St, San Francisco"
Inspiration Real Estate Inc,1,2,Nob Hill,53,Inspiration Real Estate Inc | Milan Appraisers,"1500 Taylor St, San Francisco, 94133","1500 Taylor St, San Francisco"
Int'l Hotel Senior Housing Inc,1,2,,531110,Int'l Hotel Senior Housing Inc,"615 Grant Ave, San Francisco, 94108","848 Kearny St, San Francisco"
Irving Lincoln Real Estate Inc.,1,2,,531210,Asia Pacific Groups,"1290 24th Ave, San Francisco, 94122","1290 24th Ave, San Francisco"
Irving Management LLC,1,2,,531110,Irving Management LLC,"944 Irving St, San Francisco, 94122","944 Irving St, San Francisco"
Isackson Investment Company,1,2,,531110,Isackson Investment Company,"1220 Howard Ave 216 Ste, Burlingame, 94010","3440- 3450 California St, San Francisco"
Ism Management Company LLC,1,2,Mission,531110,Ism Management Company LLC,"1516 S Bundy Dr Ste 300, Los Angeles, 90025","1760 Mission St, San Francisco"
J C Property Investment,1,2,,531210,J C Property Investment,"270 Willow Ave, Millbrae, 94030","270 Willow Ave Millbrae, Millbrae"
J Wavro Associates Inc,1,2,Noe Valley,531210,J Wavro Associates | J Wavro Property Management,"4278 25th St, San Francisco, 94114","4278 25th St, San Francisco"
J.Wavro Property Management,1,2,Noe Valley,531311,J.Wavro Pm | J.Wavro Property Management,"4278 25th St, San Francisco, 94114","4278 25th St, San Francisco"
Jabour Presidio Properties LLC,1,2,,531110,Jabour Presidio Properties,"333 N Sunrise Way # 1683, Palm Springs, 92262","Presidio Ave, San Francisco"
Jacks Properties LLC,1,2,,53,Jacks Properties,"1154 Fell St # B, San Francisco, 94117","1154 Fell St #B, San Francisco"
Jackson Place Associates Lp,1,2,,531110,Jackson Place Associates Lp,"633 Battery St 100 Ste, San Francisco, 94111","633 Battery St 100, San Francisco"
Jackson Square Properties LLC,1,2,,531390,Jackson Square Properties,"655 Montgomery St Ste 1700, San Francisco, 94111","655 Montgomery St Ste 1700, San Francisco"
"Janu Real Estate, LLC",1,2,,53,"Janu Real Estate, LLC","1142 Rhode Island St, San Francisco, 94107","1142 Rhode Island St, San Francisco"
Jdse Properties LLC,1,2,,53,Jdse Properties LLC,"Po Box 4914, Walnut Creek, 94596","2761 Mcallister St, San Francisco"
Jeb Properties,1,2,,531110,Jeb Properties,"2003 Comistas Dr, Walnut Creek, 94598","372 West Portal Ave, San Francisco"
Jekyll Apartments LLC,1,2,,531110,Jekyll Apartments LLC,"1201 Fulton St, San Francisco, 94117","138 Hyde St, San Francisco"
Jennifer Gottlieb Real Estate,1,2,Mission,531210,Jennifer Gottlieb Real Estate,"715 Florida St, San Francisco, 94110","715 Florida St, San Francisco"
Jenny He Realty Associates,1,2,,531210,Central Realty,"32 Byxbee St, San Francisco, 94132","32 Byxbee St, San Francisco"
Jer Clayton Properties LLC,1,2,,531110,Jer Clayton Properties LLC,"16 25th Ave, San Francisco, 94121","16 25th Ave, San Francisco"
Jesse Apartments Lp,1,2,,531110,Jesse Apartments Lp,"1717 Powell St Ste 300, San Francisco, 94133","1449 Washington St, San Francisco"
Jiang's Property LLC,1,2,Outer Richmond,531110,Jiang's Property LLC,"300 Castenada Dr, Millbrae, 94030","600 24th Ave, San Francisco"
Jk Pacific Realty LLC,1,2,,531110,Jk Pacific Realty LLC,"726 Noriega St, San Francisco, 94122","1915 Bush St, San Francisco"
Jklm Partners LLC,1,2,,531110,Jklm Partners LLC,"1792 26th Ave, San Francisco, 94122","6 Po Box, Brisbane"
Jl 8th Ave Property LLC,1,2,Inner Richmond,531110,Jl 8th Ave Property LLC,"1605 Po Box, Burlingame, 94011","308 -312 8th Ave, San Francisco"
Jm Real Estate Development Inc,1,2,,531311,Jm Real Estate Development Inc,"2 Mclea Ct 202 Ste, San Francisco, 94103","2 Mclea Ct Ste 202, San Francisco"
Jm Real Estate Group Inc,1,2,,531210,J&M Properties | James Wong Realtor | Jm Properties,"1728 Ocean Ave Ste 170, San Francisco, 94112","1728 Ocean Ave Ste 170, San Francisco"
Jmc Realty Corp,1,2,,531210,Jmc Realty Corp,"Po Box 225194, San Francisco, 94122","1 Daniel Burnham Ct Unit 617, San Francisco"
"Jmj Properties 2022, LLC",1,2,,531110,"Jmj Properties 2022, LLC","2946 21st Ave, San Francisco, 94132","2946 21st Ave, San Francisco"
John Brennan Company Inc,1,2,,53,John Brennan Company Inc,"425 Divisadero St Ste 305, San Francisco, 94117","425 Divisadero St Ste 305, San Francisco"
John Lepage Real Estate Inc.,1,2,,531210,John Lepage Real Estate Inc.,"215 Ne Cerritos Dr, Palm Springs, 92262","215 Ne Cerritos Dr, Palm Springs"
Jones Street Apartments,1,2,,531110,424 Jones Street Apts,"1201 Fulton St, San Francisco, 94117","424 Jones St, San Francisco"
Jordex Management Inc.,1,2,,53,Jordex Management Inc,"Po Box 580, San Francisco, 94104","1932 Baker St, San Francisco"
"Jq Properties, Lp",1,2,,531110,942-950 Grant Ave. San Francisco,"33 Tyson Cir, Piedmont, 94611","Grant Ave, San Francisco"
Js Associates And Investments Inc,1,2,Mission,53,Millennium Realty,"2480 Mission St Ste 108, San Francisco, 94110","2480 Mission St Ste 108, San Francisco"
Js Mattison & Company Inc,1,2,,531312,Js Mattison & Company Inc,"3701 Sacramento St # 300, San Francisco, 94118","50 California St Ste 1500, San Francisco"
Juniper Capital Management,1,2,Mission,531110,Juniper Capital Management,"2501 Harrison St Ste 8, San Francisco, 94110","2501 Harrison St Ste 16, San Francisco"
Jurney Properties LLC,1,2,Mission,531210,Jurney Properties LLC,"216 11th St, San Francisco, 94103","216 11th St, San Francisco"
Jva Management Corp,1,2,,531311,Jva Management Corp,"315 Fernando Ave, Palo Alto, 94306","315 Fernando Ave, Palo Alto"
K G Real Estate Services,1,2,,53,K G Real Estate Services | Pacific Funding Solutions,"2506 Sacramento St, San Francisco, 94115","2506 Sacramento St, San Francisco"
K Group LLC,1,2,Haight Ashbury,531110,K Group LLC,"1335 Sunrise Ct, Los Altos, 94024","164 Parnassus Ave, San Francisco"
K Sakai Company,1,2,,531110,K Sakai Company,"209 10th Ave, San Francisco, 94118","1656 Post St, San Francisco"
Kbam Properties LLC,1,2,,531110,148 Locksley Apts,"2 Dionne Ct, Belmont, 94002","148 Locksley Ave, San Francisco"
Keil Estate Company LLC,1,2,,531312,Keil Estate Company LLC,"244 Kearny St Fl 3, San Francisco, 94108","244 Kearny St Fl 3, San Francisco"
Kenney & Everest Real Estate Inc,1,2,,531210,Kenney & Everest Real Estate Inc | Maureen B Kenny Broker As Trustee,"1569 Leavenworth St, San Francisco, 94109","1569 Leavenworth St, San Francisco"
Kerrwick Associates,1,2,,531110,Kerrwick Associates - 21st Avenue,"Po Box P.O. Box 22428, San Francisco, 94122","44 Sotello Avenue, San Francisco"
Kevin Kropp Real Estate Inc,1,2,,531210,Kevin Kropp Real Estate,"385 Hayes Street St, San Francisco, 94012","2267 15th Street St, San Francisco"
Kinry & Associates LLC,1,2,,531390,Kinry & Associates,"2000 Van Ness Ave Ste 100, San Francisco, 94109","2000 Van Ness Ave 100, San Francisco"
